fremdsprache,deutsch,deklination,lektion,richtig,falsch
corpus,der Körper,corporis n.,4,8,0
ars,das Können die Geschicklichkeit die Kunst,artis f.,4,0,9
omnis,jeder ganz,is e,4,0,9
omnes,alle,,4,2,6
mora,der Aufschub die Verzögerung,ae f.,4,0,8
barbarus,auslandisch unzivilisiert Subst die Barbaren Nicht Romer,a um,5,0,27
consilium,die Versammlung der Rat die Beratung der Plan der Beschluss,i n.,5,3,23
cognoscere cognosco cognovi cognitum,kennenlernen erkennen,cognosco cognovi cognitum,5,19,7
prae,vor,Präp b Abl,5,21,5
mittere mitto misi mmissum,schicken,mitto misi missum,5,21,5
relinquus,ubrig,a um,5,12,15
copia,die Menge der Vorrat die Moglichkeit Pl die Truppen,ae f.,5,0,26
noster,unser Subst der Unsrige,tra trum,5,0,26
e ex,aus heraus von etw her,b Abl d Trennung,5,5,21
navis,das Schiff,navis f.,5,18,8
miles,der Soldat,Militis m.,5,11,8
gravis,schwer gewichtig ernst,is e,5,9,10
arma,die Waffen,armorum n Pl.,5,14,5
fluctus,die Welle,us m.,5,15,3
hostis,der Feind,is m.,5,13,5
pugnare,kampfen,,5,6,12
telum,der Wurfspeß,i n.,5,0,18
equus,das Pferd,i m.,5,12,6
incitare,antreiben erregen,,5,9,9
terere,erschrecken,,5,6,12
latus,die Seite die Flanke,lateris n.,5,8,11
aperire aperio aperui apertum,offnen aufdecken,aperio aperui apertum,5,0,19
iubere iubeo iussi iussum,befehlen,iubeo iussi iussum,5,5,13
atque ac,und,,5,10,8
usus,der Gebrauch der Nutzen die Erfahrung,us m.,5,0,18
dubitare,zögern bezweifeln,,5,0,4
mare,das Meer,maris n.,5,1,2
ferre fero tuli latum,tragen ertragen berichten,fero tuli latum,5,0,3
deus,der Gott,i m. Nom Pl meist di Dat Abl Pl dis,5,1,2
vocare,rufen nennen,,5,0,3
nobis,uns,Dat Abl,5,0,1
auxilium,die Hilfe,i n.,5,0,1
tum,dann darauf,,5,0,1
nisi,wenn nicht außer,,5,0,1
tradere trado tradidi traditum,übergeben überliefern,trado tradidi traditum,5,0,1
incipere incipio coepi coeptum,anfangen,incipio coepi coeptum,5,0,1
Kasus,Nominativ Genitiv Dativ Akkusativ Ablativ Nominativ Genitiv Dativ Akkusativ Ablativ,,20,2,9
maskulin,us i o um o i orum is os is,,20,49,15
feminin,a ae ae am a ae orum is as is,,20,55,16
neutrum,um i o um o a orum is a is,,20,25,7
Kons.Deklination,homo is i em e es um ibus es ibus,,20,16,11
Kons.deklination neutrum,vulnus is i vulnus e a um ibus a ibus,,20,9,9
Nom gen Dat Akk Abl,wer/was wessen wem wen/was womit/wodurch,,20,3,6
servare,retten bewahren,,6,7,12
conspicere, erblicken spicio spexi spectum,,6,0,19
iactare,werfen,,6,13,6
complere,anfüllen erfüllen pleo plevi pletum,,6,0,19
consistere,sich aufstellen stehen bleiben sisto stiti,,6,0,19
vincere,besiegen vinco vici victum,,6,0,4
se re-cipere,sich zurückziehen re-cipio cepi ceptum,,6,0,4
